Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
110,356,-173,144
110,326,-182,-110
111,-10.8,49.1,-267
111,-134,259,-29.5
111,40.9,182,308
111,29.8,-29.6,213
111,-249,-119,-216
111,-260,-97.6,-451
111,79.7,-82.6,-245
112,240,-72,181
112,78.1,-19.5,424
112,-57.8,102,326
112,-33.4,247,21.2
112,-37.8,192,-310
112,-113,-128,-405
113,-4.5,-309,-118
113,243,-24.9,247
113,154,297,298
113,-183,122,75
113,-130,-275,-44.7
113,194,-370,44.9
113,102,-96.9,3.06
114,-319,248,-189
114,-277,328,-174
114,223,170,-2.01
114,284,2.25,12.8
114,-121,-148,-127
114,-153,-267,-126
114,254,-176,189
115,334,131,535
115,-182,325,434
115,-569,215,-216
115,-263,-77.1,-822
115,292,-367,-577
115,487,-386,370
116,255,9.29,854
116,-178,467,278
116,-454,436,-517
116,-283,-126,-485
116,179,-542,136
116,433,-268,365
116,180,317,29.8
117,-250,459,-253
117,-272,39.6,-154
117,118,-305,99.7
117,262,-101,206
117,-142,240,158
117,-364,40.5,97.3
118,88.6,-440,-50
118,433,-328,-344
118,72.2,295,-357
118,-384,510,64.4
118,-239,151,216
118,302,-143,-105
118,424,-118,-142
119,-116,-90.2,316
119,-454,-205,560
119,-74.8,-221,245
119,219,4.26,-165
119,-123,260,-319
119,-306,261,-335
119,251,82.9,-301
120,720,50.7,-139
120,294,69.3,154
120,-550,-203,301
120,-794,-476,109
120,-84.6,-238,-71.6
120,680,315,27.8
121,406,554,121
121,-351,187,44.7
121,-277,-316,-99.3
121,265,-330,-123
121,122,-38,215
121,-385,81.3,437
121,-342,76.5,-157
122,162,133,-868
122,459,93.7,-555
122,280,-154,391
122,-63.3,-272,791
122,-263,49.1,369
122,-252,397,-215
122,-27.6,161,-335
123,227,-381,-68.6
123,180,-436,36.7
123,-162,66.7,-61.3
123,-301,478,85.1
123,13.4,397,235
123,368,-75,-142
124,303,-482,-483
124,-84.5,-359,-105
124,-273,110,383
124,-97.7,383,277
124,-5.78,268,1.77
124,-179,-16,46.9
124,-338,-149,93.7
125,-256,-162,-144
125,195,-243,-325
125,735,-265,-81.2
125,734,-11.2,296
125,128,418,199
125,-483,486,-267
126,-578,-112,-403
126,-167,-627,15.3
126,257,-188,554
126,256,628,538
126,-116,636,-270
126,-352,-32.5,-912
126,-54.3,-393,-478
127,400,-271,360
127,293,-164,620
127,-366,-133,383
127,-770,69.9,105
127,-380,237,-3.4
127,326,15.6,-49.8
127,615,-318,-317
128,377,-265,-491
128,33.2,101,-6.54
128,67.1,370,536
128,300,298,250
128,136,-7.31,-378
128,-351,-129,-515
129,-675,74.7,-271
129,-566,105,131
129,112,-384,676
129,969,-682,823
129,986,-19.3,175
129,-2.67,894,-695
129,-789,883,-923
130,-704,205,-384
130,-394,-244,247
130,-374,-528,505
130,-300,-844,436
130,246,-667,136
130,806,116,-109
130,545,663,-52
131,-138,371,91
131,-17.3,-193,79.9
131,670,-193,-79.6
131,527,262,-395
131,-404,495,-615
131,-794,200,-184
132,-450,-329,669
132,-174,-575,838
132,49.1,-265,59.8
132,447,426,-658
132,359,850,-607
132,-400,344,-57.4
132,-626,-745,421
133,300,-1110,482
133,980,-171,207
133,66.9,930,-56.8
133,-1310,750,-133
133,-1010,-396,-145
133,730,-977,-187
134,1690,-457,-164
134,982,385,-91.9
134,-217,876,-136
134,-915,813,-138
134,-1170,195,229
134,-915,-481,640
134,7.09,-680,473
135,969,-554,-41
135,1100,-330,-236
135,383,106,-286
135,-319,545,-616
135,-376,560,-629
135,-224,259,212
135,-405,-68.2,945
136,-382,-353,554
136,321,-311,-307
136,634,150,-457
136,-275,223,55.7
136,-875,-474,332
136,353,-769,-12.6
137,1830,163,-460
137,975,1150,-385
137,-1590,821,150
137,-2420,-308,524
137,-328,-874,323
137,1780,-498,-195
137,1430,227,-479
138,-272,521,-205
138,-935,75.1,455
138,-119,-467,679
138,551,-247,-67.4
